lax.zc,lay.zc,laz.zc,hax.zc,hay.zc,haz.zc,lmag.zc,hmag.zc,lpc1.zc,lpc2.zc,lpc3.zc,hpc1.zc,hpc2.zc,hpc3.zc,lax.p2p,lay.p2p,laz.p2p,hax.p2p,hay.p2p,haz.p2p,lmag.p2p,hmag.p2p,lpc1.p2p,lpc2.p2p,lpc3.p2p,hpc1.p2p,hpc2.p2p,hpc3.p2p,lax.rms,lay.rms,laz.rms,hax.rms,hay.rms,haz.rms,lmag.rms,hmag.rms,lpc1.rms,lpc2.rms,lpc3.rms,hpc1.rms,hpc2.rms,hpc3.rms,lax.kurt,lay.kurt,laz.kurt,hax.kurt,hay.kurt,haz.kurt,lmag.kurt,hmag.kurt,lpc1.kurt,lpc2.kurt,lpc3.kurt,hpc1.kurt,hpc2.kurt,hpc3.kurt,lax.skew,lay.skew,laz.skew,hax.skew,hay.skew,haz.skew,lmag.skew,hmag.skew,lpc1.skew,lpc2.skew,lpc3.skew,hpc1.skew,hpc2.skew,hpc3.skew,lax.cf,lay.cf,laz.cf,hax.cf,hay.cf,haz.cf,lmag.cf,hmag.cf,lpc1.cf,lpc2.cf,lpc3.cf,hpc1.cf,hpc2.cf,hpc3.cf,lax.vrms,lay.vrms,laz.vrms,hax.vrms,hay.vrms,haz.vrms,lmag.vrms,hmag.vrms,lpc1.vrms,lpc2.vrms,lpc3.vrms,hpc1.vrms,hpc2.vrms,hpc3.vrms,lax.ent,lay.ent,laz.ent,hax.ent,hay.ent,haz.ent,lmag.ent,hmag.ent,lpc1.ent,lpc2.ent,lpc3.ent,hpc1.ent,hpc2.ent,hpc3.ent,label
3.0,15.0,18.0,238.0,246.0,230.0,7.0,240.0,5.0,10.0,32.0,234.0,234.0,232.0,736.2762746608278,556.9814736453366,612.053455498881,258.53936921556215,765.0546318977877,945.3780016936103,696.2239440792341,863.4689317515304,4.763936285356967,4.796804135669945,2.881891935717233,4.274927793486298,6.827391172427106,4.122653171606905,167.25517721337454,134.69344901363743,112.18156412432833,34.20325264343063,46.550630917089855,54.51415286831753,183.02352243376515,49.23616847101838,1.3027546647597423,0.8846241672625157,0.41176842059373636,0.2945174805785368,0.4163590978835524,0.2747619477973925,-0.2966509304069249,0.8328149507433795,1.364921754008976,3.29252294363428,21.429101890810788,32.83822877926658,-0.27086997062815943,30.23157238952571,-0.006214196183432108,1.6132364085990858,2.0573808857965963,16.52231074481913,26.572998135073764,14.945701467292295,-0.7379593189443685,-1.455316184664425,-1.1222429507306404,0.1351180412840657,0.4608980386989753,2.308212012919932,-1.1238221136405113,1.6097733686243691,1.2573482418552013,-1.2675181319386382,-0.4810785426805417,-0.6173080488041864,1.9660694872264066,0.47220687078071716,2.0475925342499406,1.26461146794456,1.8085896444826386,4.108472549464791,8.110999629571989,11.056273804395312,1.0940770769462487,10.609019065768933,2.5418958703461407,1.930355921238516,3.329706481360925,6.280686516875303,10.450403631758316,7.828179004935651,334.20310327497026,346.36871738613144,171.60358949658126,0.9270873101980459,0.7216130903018707,0.9241768657646716,469.3332231547513,0.7136983344404455,3.294293269799588,0.7837889162165177,0.33596045520492246,0.00425593912313897,0.0075286618530649016,0.005881943111186858,1.7515345632342716,1.6816855455235593,1.8731858988982235,1.5415182773759537,0.9314571995791235,0.7502343342401583,1.7069697363571754,0.9256317655484974,1.5745649563082207,1.8388846721352534,1.6461097147541002,0.9028112880743033,0.8225152232476178,0.9428012488620026,1.0
40.0,43.0,24.0,237.0,238.0,253.0,32.0,249.0,22.0,67.0,52.0,248.0,235.0,248.0,62.58905540090018,61.49763246598377,99.62797169135183,54.67086256422908,29.186735156798022,39.30392605905763,68.09619137641675,33.8593191379432,9.573804281713278,5.0313212119629185,2.6227862130699693,3.4991842136099693,3.478072649094284,3.203319726392115,9.7713626865661,6.914130193125118,16.45315075259232,4.833838818080677,3.7233120439784297,5.103988565600696,11.618886593695839,4.704347938627997,1.3877521148985827,0.6167083851315732,0.38004503903481734,0.3730866814703305,0.46987616831071466,0.37361040625680947,0.8489878951813687,4.548563287260624,0.44004122413381097,4.743800885978629,1.0984411407049741,1.5154851974773447,0.053892166257828666,1.0940463561542284,1.8130191939788425,2.5358758073988863,0.7862089134225485,2.48319174802244,0.8672607596021686,2.10917088514155,0.03405945803137092,-0.08179590660589013,0.19927467508814004,-0.06721985223514709,0.08353945699490946,0.1953601547125883,-0.15316014827895935,0.10901520884133548,0.4368367228281108,0.1700746223864516,0.5067702493247849,-0.05189193981227445,0.08199990520185622,0.1825791522543655,3.6589650440861807,3.9778575616898126,3.6220456893476785,5.26582875353804,4.70382511084873,3.8687159714140273,3.190710692353627,3.8327585200628103,4.436675261216897,4.429067434952729,4.08208423124699,4.2277423962033245,4.192316498266964,4.263846247744126,16.17202353809763,7.752289374228159,31.436070361747245,0.09322803164406814,0.07907944048430361,0.09207911016809574,21.22293437739789,0.0884347914009251,2.4895450375391985,0.33544218652376895,0.31383411458304306,0.007758992807500154,0.009342493205535603,0.00719594061824184,1.796987222684081,1.4548559428841659,1.8611661111495463,1.2926842451565264,1.6591516695016835,1.681568731781156,1.9200534735844255,1.7535846504007369,1.7287113764891981,1.5924670841096293,1.7678232511568353,1.4630594002253259,1.7367924112233892,1.5420782123004095,1.0
34.0,56.0,47.0,283.0,284.0,266.0,49.0,281.0,40.0,64.0,54.0,274.0,270.0,272.0,31.835654408506798,17.105701261196373,37.84505611386885,26.631385840037865,17.502236678377812,39.01818642213266,36.37627678139734,28.77583532837434,6.635593233343799,4.213350745033499,3.802185254003372,4.170228320759762,4.548036973461668,4.171972460535713,5.268877703677589,2.6810343550012967,6.346222647053059,3.57665172705878,2.909909965896269,4.241353882618456,5.224460567555894,3.689372948940273,1.0859373457019652,0.6002314652207936,0.504941099327738,0.5257151093088764,0.7214856242469838,0.5818251027760765,0.7189501282943329,0.8721795281454989,1.3277370238028343,0.9805572369451201,0.13239905759449888,3.8943303216471366,1.6704100167696705,1.6326762413227627,0.8699682301140435,1.3797038811826177,3.2836920845448088,1.347500530313729,0.4002390674008609,1.7578249268378139,-0.16829912309804748,0.906344371802842,-1.0713837141569862,0.02346187736042284,-0.10964934083071164,0.4104530215609719,-0.912372581872103,0.01079329117104839,0.6352039699139045,-0.0777908063058513,-1.1305075129970465,-0.17798778197537912,0.2282508731994572,-0.01780801960312019,2.950885551138712,3.7454275835412663,2.280898465802791,4.164230062914344,3.06969857659582,5.48275946477111,2.603317577943949,3.8113487568982243,3.417061946359634,3.770969979156444,2.5322642652320986,3.337807603426551,3.5086453440063754,3.66516490843827,5.398645955602033,2.8748342398978464,8.545996247169699,0.10378460874172177,0.04768527819623866,0.07215417487510767,5.602801688140035,0.08019599182525901,1.4768460196969238,0.34093434171898773,0.38439176484519844,0.01130854089970948,0.01415087978948653,0.012698353589131142,1.879103624645437,1.7749399801804442,1.801537797115551,1.7205922475913418,1.902267387503409,1.4574986646334178,1.725677430809265,1.643672065594878,1.8336671773556348,1.7490292368825882,1.6438836112527861,1.6572264975707995,1.8860477868003616,1.7309365846743725,1.0
13.0,51.0,29.0,232.0,248.0,227.0,27.0,236.0,17.0,41.0,49.0,225.0,242.0,221.0,67.21124654139248,40.57467323791752,81.26719342854676,44.74038222970262,38.16703516510506,34.678660196699184,64.2420309118229,38.98176651054155,7.711366617353407,4.041170959787394,3.614770934230723,3.3486759071564096,4.153424914120872,3.245326735319491,13.50339837932072,5.401441492372673,14.186000261382356,5.512502389196325,4.560556447898884,5.243252923591122,11.735757584096588,4.950807081474316,1.2519889451353174,0.6673754989792888,0.5120732510366355,0.45673573043935906,0.521547241353467,0.42450620182110693,-0.48564278768649505,4.816630892235049,3.0752221702022062,2.1190210476441473,2.4798211961599232,0.5721189354483043,0.6466449167985573,1.7284676207212257,2.5735137245822672,0.5136743677508151,1.5039436059888374,1.4536936337118913,1.9110944914115393,1.6832574082355176,0.07078321601039585,-1.5384170503054329,1.3437447436949952,-0.04682255162988318,0.276124130552921,-0.017626542862074466,0.7983045801584291,-0.02389624838238734,1.2946457997778058,0.11417393031858658,-0.0333504313117473,-0.07543522607004216,0.2421549669367799,0.04353572579663393,2.335728618139863,2.289954277211308,3.9032309902020277,3.965975156433186,4.784795380163677,3.3599687698000547,3.3104423338210958,3.757143965414594,4.278779650644445,3.1500464629361713,4.194909651560828,3.4952189172994332,4.656676101275067,3.8782822305679385,11.856326382185545,3.5797282580188523,11.279110258925147,0.11862274324371386,0.08477542555449717,0.10121776789830342,10.24820909210665,0.09722581063804293,1.1558330191300115,0.29892409535460224,0.14479869137715728,0.009637695510920875,0.009725435651626537,0.007783236503583691,2.077949469165881,1.5631467739638933,1.8004271471194933,1.617160096407065,1.5564710488375681,1.8359402237129632,1.9545074665846527,1.6502617529422974,1.769214375557042,1.9058668638100633,1.7312539477958857,1.709977573864313,1.6350587176370588,1.6851128079331847,1.0
33.0,62.0,32.0,246.0,247.0,246.0,29.0,246.0,27.0,66.0,54.0,257.0,233.0,255.0,35.32244746642141,43.110368684656805,36.937507859094694,48.37342346920923,37.73291509973933,36.26873753556856,33.27222757224854,42.64667745366205,5.337946338463645,6.438099333666936,4.108284040300404,5.02193414321565,5.612379621748255,5.120556584502039,5.952294695103903,4.428531885008234,6.372304892102913,4.835570792588395,4.331695329810289,5.091701611393748,5.725857247127135,4.920483594454048,0.9827183775509705,0.6587806639488041,0.5300539469710309,0.5548374632603018,0.7430291951814804,0.6175710187264887,0.43565255029851624,11.095254691743076,0.32786515336958244,2.6202351269592983,2.477024885762349,1.0040356362760994,0.46013738711387697,2.2403836281264358,0.11925442114010343,11.02166165848169,2.0929489359686304,2.0326006100328193,1.6571987918996571,1.7132973677335777,-0.15948195879273488,1.6381420274336627,0.0642324859762492,0.1781346988255998,0.278830098291544,0.17168888945899338,0.3697440569874249,0.2921228837878086,0.054791838479954245,1.8854042381630973,-0.05208002061713269,-0.22989545960138338,0.25192234608093717,0.19557141775250836,2.726185833558893,6.761753764493242,2.55584609594649,5.289214428208978,5.071395030929205,4.053805194671125,2.9951247863545025,5.245058543599293,2.439011270275986,6.8451028666721765,4.021910144800339,3.6368726572580656,4.184766486961505,5.109382632600947,8.90502165238184,2.884110110496049,10.98539816709572,0.08748146356302643,0.11283154643844594,0.10344578825411142,9.260939194720574,0.08974699502407021,1.7430101212909295,0.48352213401044963,0.20937629629929078,0.013136815243997383,0.01470119298722589,0.014648061764054308,1.917199072610945,1.2976784753358364,1.912710350312808,1.3972592653308837,1.5510772773211976,1.7514712822590068,1.9224744020600346,1.5637566344802405,1.9359941454887322,1.32672268028707,1.6443151526825395,1.5402582861134415,1.6946378038919796,1.6084629413669083,1.0
46.0,64.0,52.0,279.0,296.0,280.0,58.0,276.0,41.0,64.0,68.0,277.0,294.0,286.0,28.234752936499717,22.98869848999402,22.902640982137655,22.26080056639239,23.32484427897043,21.597644900519754,21.95146979977335,25.412718050646617,5.945432379630598,6.67200025185771,4.415632731841725,4.534934292748218,4.744921611102303,5.284870285422478,3.43970470919464,2.8733090352952613,3.191971908330893,3.173872608659588,2.891884189884574,3.3393478312673044,3.1480173992289138,3.1494880553658224,0.836059033781714,0.7170740339844297,0.5069264275686806,0.6756535685926721,0.6823214688714306,0.7217165637272848,3.0715863859402504,2.8510458060274626,2.193206011810644,0.9384571175397101,0.8468447582490919,0.6883039821577732,2.813057158388477,1.3703373592006427,1.6681774762304658,5.353114749061421,2.8399650777902608,0.4819452384775449,0.7240689374143638,1.3466400970218464,0.015998881634811862,0.46334371590233114,0.742645538100709,-0.0819372941133052,0.05948702525964434,0.08730193115963435,0.519820305333409,-0.06990303998270628,-0.08155841338779075,0.7187580306782022,0.7283455515594465,0.08765450039959906,-0.06784078856546623,0.08395624132112416,4.3516186443724525,4.237849097324051,4.875870381345677,2.9942192050501153,4.015754618595507,3.5215199771968795,3.895054348922826,3.8529062300344927,3.5377663018123084,5.4140795824157735,5.71091642543742,3.4343130369648236,2.859085175552139,3.8298432910150964,4.133306543965817,0.9079131069435613,4.657194266607006,0.05302314177349971,0.09232313452241654,0.08656111928811577,4.309102535208078,0.0947522600514744,1.2690592250313986,0.3850461813695996,0.18988733698204832,0.013801512449675835,0.017356541481029393,0.02174285706789749,1.5493939914611927,1.5774007198096671,1.71956470101178,1.7755972880536628,1.6526194562544472,1.8304952816248505,1.6782066584611028,1.6360027765609397,1.7270400884132697,1.427001315628112,1.5420867002637189,1.824584539819016,1.7981571111945454,1.716255221406214,1.0
32.0,70.0,25.0,298.0,278.0,293.0,38.0,298.0,35.0,54.0,57.0,263.0,292.0,287.0,19.406986963227382,22.937395554757586,19.354390903756666,17.584501892538356,22.841770957349127,22.398953215099482,13.736645670497637,16.648835545106976,6.384559612793431,4.039640313427072,3.411870614704596,5.558504026502556,4.737821420942214,4.042383056869603,2.996694926557653,2.3913094270222457,3.6450301059033796,2.786865428122984,2.7406324009200707,3.017885752053544,2.7433039231085443,2.6636253400621577,0.9877942956139738,0.5933559837401763,0.4566994377314983,0.6922100181351483,0.7348077804920503,0.6281368271726798,0.8083690941357258,4.757685270170714,1.2922638729218834,0.06721337742889855,1.0722911926846388,0.3460402515517176,-0.0937242769009039,0.2834710078299745,2.157114563154172,1.421067114073134,2.8606879178427196,0.9855745942339511,0.6285824875955335,0.3026822830771252,0.6029763145584579,-0.26510229518037115,1.1591064983412247,0.061997366725223324,-0.1867597763347067,-0.06472516934162137,0.7156620525341134,0.022370562761305154,1.2948363984205276,0.46572071998236797,0.8963047834990661,0.23014712827514142,0.04071048953782356,0.008374600368792326,3.168853044268134,4.921662611735301,3.4602744540075836,3.368174144114846,3.6424822509966974,3.377700526619051,2.8119416075343535,3.155677013304334,4.208244824307199,3.7541512104104497,4.896177623218498,3.9948694615507105,3.2172170257029427,3.115132286852152,3.8069890067862167,1.8809947021876003,6.162554491435963,0.050223473841817357,0.0600825825500393,0.062140695621556025,4.295888164531385,0.05542673060829818,1.5746395351414157,0.39562211582143203,0.38776911819079296,0.013126626168990529,0.011609937434757177,0.01668484787443868,1.7574131076320259,1.4117520444254712,1.9005451631157904,1.880769042689987,1.6002121547259844,1.7359218230413274,2.0029774721340377,1.8953221430537133,1.7428085586816702,1.7748840572681488,1.6780454253082582,1.6270843266726673,1.8524653890247498,1.8611077783669474,1.0
51.0,65.0,59.0,303.0,287.0,302.0,47.0,297.0,73.0,37.0,59.0,282.0,311.0,288.0,9.344148140476136,12.022427534674534,14.208151862484556,16.3235316104292,15.573439334074465,15.295266532129062,10.31776550552604,15.08008801455344,4.271872769530454,3.028423128428267,2.895522494989473,7.20985527606307,4.516902521387909,4.869109027561608,1.916305061314638,1.5019724512911796,1.893909851489405,2.5726106993153643,2.455555834020777,2.777328640331817,1.7385574098756775,2.6213686083089507,0.5974452688714708,0.609481651830744,0.44747807543779605,0.898459971419215,0.7784280985649753,0.7760524227193606,-0.6186061101538725,0.7353856253232189,3.0583954504884003,0.08077057605103954,0.4839384970636873,-0.13326927618085227,0.11230870485980304,-0.05962131624675182,1.053475893183661,-0.23050351094189292,-0.03075113631334636,1.1373422311366053,-0.2258057584772204,0.2692605342893608,-0.07623412038134195,0.023812397119153714,0.9468396461873634,0.010825229449029847,0.17583877791501332,-0.10386868158120485,0.17477721273593202,0.007688877612653813,-0.15671927756510723,0.3785637121589808,0.1690595908544686,0.17838545740049544,-0.03052697180719876,-0.024896229388706895,2.4782181031247523,3.2922352158415182,4.830310401778819,2.7291559999433748,3.4659413025263737,2.6757938999176405,3.611226032447963,2.7641312565192573,3.037968387649768,2.7374485284261976,3.428222966896607,4.535807528641072,2.734557151799136,3.400622959310316,2.7708833179559873,0.9870024961292665,1.4033887461352945,0.051449596394616395,0.05660067716466272,0.044106136849850854,1.6160489826470072,0.038191818084763296,0.1530722161906933,0.7909305281974621,0.6059723849872316,0.014721896581533854,0.015277034560648727,0.018728797827361598,2.1125344686898435,1.6524748579246478,1.6519685216773021,1.86348343700533,1.8669145722390772,1.9983201034737201,1.928571365316842,1.9772888765992134,1.7539350876906579,2.088613159961705,1.8636208272483064,1.648254475908671,1.9679945027182288,1.872844501428483,1.0
67.0,70.0,64.0,294.0,296.0,310.0,73.0,293.0,69.0,64.0,64.0,306.0,310.0,300.0,8.225874213018642,7.937463236453368,9.788517719258834,18.409681011468365,14.069272017857656,15.465057961601815,8.37428113194801,13.725843218645423,3.7657163880182,2.905277650920432,2.296305986263972,5.217598786436948,5.385421516166627,4.811865760698903,1.3974692315317305,1.2407795490701181,1.4159334855864958,2.5793985735790246,2.39754367665011,2.55192524977289,1.213791236632135,2.6115946440443984,0.5058030302276407,0.4558333691113126,0.44609893266945744,0.900778695693201,0.8801460501209035,0.837807196208013,0.16121012714790517,0.13489668224529172,0.7384414492220519,0.13034902982126262,-0.18414072248772229,0.053614965081328236,0.37557055033524644,-0.3427221703753376,1.7213688278751071,0.47716782874267283,-0.2533583881695516,-0.10055438620554913,-0.014813083146755446,-0.13941001047122903,-0.132820681952372,-0.05003278864427197,0.15305187644936438,-0.07639787762887616,0.075476248048153,-0.08165814572079187,0.18745033082479087,-0.049620106419758614,0.11536197903857222,0.09020316299814991,0.0008854373064920455,0.07184943908313378,-0.09695754585872672,0.14097116295793563,3.074280925109698,3.2655048551342762,3.559871413450309,3.503933544040467,3.120893369870661,2.707823415104465,3.9864628400005477,2.525383083788201,4.045803172928581,3.0564919909861725,2.531901817289111,2.8619187211652886,2.6307885623174867,2.936873317353822,1.3066539393118053,0.5020243309352448,0.5016818151484936,0.04881368412881244,0.04036744284002118,0.06084638762203536,0.5778862846733603,0.056318001726288744,0.24170901861681446,0.16313288659560418,0.4165445967915675,0.017770452447847522,0.0210571818069584,0.012717033566225956,1.9413339885468126,1.854607092963791,1.7822439651013686,1.7773059208770625,1.9449848936336593,1.9175380681564862,1.7993654964071029,2.0574823813258205,1.6893481811058422,1.8548482342417285,2.06237275117901,1.9648170872416217,1.9160328786472696,1.9682103980394348,1.0
54.0,50.0,15.0,279.0,276.0,276.0,40.0,286.0,22.0,54.0,58.0,280.0,279.0,282.0,22.93759781882818,13.427413443067962,23.022833738483314,25.86850398285287,16.226280227513598,26.69577511027137,17.57121512503818,22.129426090844845,4.873243638996161,5.11925442878586,3.0901800371554975,5.042091556206896,6.013624000762565,3.966280884121252,2.8759796425455204,2.1864901201184166,4.957439145741027,3.216904987380827,2.66996205905083,3.030131022850358,2.873889521505219,2.8261381583759544,0.926339185537833,0.6636307218598948,0.49002747445589034,0.6939200567542076,0.7325280855902081,0.6118488597702629,4.90043874952681,0.5312517654817928,0.0012388168123576015,1.589704171987445,0.23247385951797472,2.3249856944431473,2.5578916352847223,0.9961350034910827,0.10014347999669049,5.153596371808547,1.2100599589257808,0.7484479281116099,1.721840011250574,0.2351723025774728,-1.0891329416655204,0.4772871575591186,-0.8814248830272277,0.01113940937283785,0.0012461966621420148,-0.09092586030718176,-1.3553707802405048,-0.0445204721724048,0.7319031664396545,-1.4221218723720221,0.6684751458042594,-0.07912998455711578,-0.019203268209104195,0.0014060076032786954,3.3760452327363493,3.3063297292080858,1.7030666741131257,4.242068672415852,2.866703929182873,4.506582743612177,1.7865351915502226,3.4966226515037504,3.034976870058217,3.0252061543715385,4.144644027014676,2.8923739512344477,4.356226468231156,3.250749251055233,1.2485319313583259,3.132574054545693,10.891907083227654,0.06094888376390257,0.04715001722340636,0.06705782932467862,4.7194785534088775,0.04709571892639632,1.9287332909634523,0.40712530152551796,0.6704613565766154,0.01462142476437341,0.013625788162419437,0.010378958349808783,1.496242749535827,1.875684364662186,2.023996982917461,1.63518155816058,1.9195201592362343,1.5531015025806674,1.7820626024343147,1.6737174375849542,1.9989600053515726,1.5071619812540997,1.8520905197681705,1.75540348619801,1.6073804400886298,1.8496979514173224,1.0
